inpX inpY inpRad outpX outpY outpRad lnkUsg
181.5 77.8 7.8 4.78 14.72 3.9 0
163.71 125.11 3.7 1.22 0.62 2.6 0
163.69 143.3 5.5 1.13 -7.16 3.2 1
160.48 116.91 3.4 1.22 0.62 2.6 1
86.12 131.7 10.5 -41.59 -6.58 6.1 0
59.21 119.99 13.1 -28.44 -4.5 5 2
143.77 117.43 4.7 1.22 0.62 2.6 1
131.64 99.4 6.6 -5.13 5.13 3.2 1
239.75 120 11 24.46 3.87 4.6 1
93.35 86.04 10.5 -24.46 3.87 4.6 0
111.71 214.75 13.6 -17.01 -33.38 5.7 1
65.82 105.08 12.6 -39.76 0 5.9 0
65.82 105.08 12.6 -44.51 0 6.3 0
152.54 134.63 4.7 -5.13 -5.13 3.2 1
176.15 131.73 5.1 1.92 -3.77 2.9 1
121.48 195.58 11.5 -11.24 -22.06 4.6 0
65.239 71.71 13.6 -37 5.86 5.7 0
195.04 120 6.6 7.16 1.13 3.2 1
165.11 123.71 3.7 1.22 0.62 2.6 0
54.98 66.49 14.7 -24.99 18.15 5.2 1
145.36 127.45 4.7 1.22 0.62 2.6 1
125.37 226.55 14.2 -9.54 -29.38 5.2 1
84.14 144.64 11 -17.03 -2.69 4 0
76.21 106.72 11.5 -24.46 3.87 4.6 1
152.37 130.49 4.4 1.22 0.62 2.6 0
161.95 126.01 3.7 1.22 0.62 2.6 0
54.98 66.49 14.7 -28.49 20.7 5.5 0
218.1 90.39 9.6 15.36 7.83 4 0
160 199.75 11 3.87 -24.46 4.6 1
152.54 105.36 4.7 1.22 0.62 2.6 0
198.57 126.1 7 12.25 -6.24 3.7 1
193.95 186.64 10.5 5.89 -18.12 4.2 2
69.97 119.99 12 -37 -5.86 5.7 0
141.27 62.37 9.1 -4.78 14.72 3.9 0
161.41 122.77 3.4 1.22 0.62 2.6 1
111.71 25.24 13.6 -18.15 24.99 5.2 1
171.73 103.84 5.1 2.65 0.86 2.8 0
117.8 98.49 7.8 -11.47 3.72 3.6 0
84.41 81.48 11.5 -28.44 4.5 5 0
189.762 113.148 5.8 10.29 1.63 3.4 2
129.63 78.2 8.3 -8.14 51.41 6.9 1
157.79 122.2 3.4 1.22 0.62 2.6 0
74.37 147.82 12 -25.45 -8.26 4.8 4
86.12 108.29 10.5 -39.76 0 5.9 0
65.82 134.91 12.6 -33.5 -10.88 5.5 0
187.74 105.86 6.2 6.46 3.29 3.2 1
87.16 172.91 12 -18.46 -13.41 4.5 2
92.58 187.41 12.6 -20.36 -20.36 5 0
103.4 161.11 10.1 -37.81 -12.28 5.9 0
148.29 46.12 10.5 -5.89 18.12 4.2 0
148.29 46.12 10.5 -10.88 33.5 5.5 0
148.29 46.12 10.5 -9.49 18.63 4.3 0
166.32 120 3.7 1.22 0.62 2.6 0
186.415 112.971 5.8 10.29 1.63 3.4 1
84.41 81.48 11.5 -21.7 7.05 4.5 0
144.03 70.86 8.3 -2.15 13.58 3.7 0
76.65 203.34 14.7 -26.49 -26.49 5.7 0
76.65 203.34 14.7 -23.35 -23.35 5.3 1
87.22 19.83 15.3 -20.7 28.49 5.5 0
121.48 44.41 11.5 -9.49 18.63 4.3 0
142.27 154.79 7 -7.09 -9.76 3.6 2
